director,d_score
Kevin Munroe,13.1830794199257
Kevin Reynolds,8.57888923021203
Kevin Rodney Sullivan,1.62229331499965
Kevin Smith,54.9751174194077
Kevin Yagher,5.70382573677467
Kim Ki-duk,1.58070534424651
Kimberly Peirce,18.7519354209013
Kinka Usher,7.81401603037334
Kirk Wise,65.0313655319129
Kirsten Sheridan,22.6998586461442
Kiyoshi Kurosawa,1.57811781703553
Kris Pearn,14.6926409227416
Kristian Levring,3.3722354238814
Kunihiko Yuyama,13.3836847670384
Kurt Wimmer,47.5493469002679
Kyle Balda,18.3416334298235
Lana Wachowski,177.783280711529
Lance Mungia,1.18394498841468
Larry Charles,57.1423063494401
Lars von Trier,24.6818138750379
Lasse Hallstr?m,57.7606938979965
Laurent Cantet,4.03476290483033
Lawrence Kasdan,16.6161084628242
Lee Daniels,15.4258023296373
Lee David Zlotoff,0.600402709134175
Lee Sternthal,5.05100366759754
Lee Tamahori,52.425694405061
Lee Unkrich,239.150617270103
Len Wiseman,157.005270816619
Les Mayfield,23.8617241791942
Leslie Zemeckis,0.116918312040263
Leslye Headland,6.40546275164604
Lexi Alexander,7.80921852547806
Liam Lynch,13.3919718535103
Liev Schreiber,8.19087136929461
Lilly Wachowski,265.233749808457
Lisa Krueger,0.750503386417719
Liz Friedlander,5.42459619382696
Lone Scherfig,22.302372506369
Lorene Scafaria,9.67873887142993
Louis Leterrier,148.935093700747
Loveleen Tandan,81.9967945175196
Luc Besson,163.332842697416
Luc Dardenne,4.60336899133016
Lucky McKee,3.33648201875717
Luis Llosa,22.8827083470152
Luis Mandoki,7.41050736513719
Luke Greenfield,31.6363125099886
M?ns M?rlind,5.26132404181185
M. Night Shyamalan,159.265296309064
Mabrouk El Mechri,3.90460926273903
Malcolm D. Lee,9.00214896876135
Malcolm Venville,2.27990708478513
Mamoru Oshii,2.63253664819775
Marc Evans,1.1018711018711
Marc Forster,123.926611797547
Marc Lawrence,25.6264212158703
Marc Webb,146.872300719439
Marcel Langenegger,5.66168343097159
Marco Schnabel,7.61398806234111
Marcos Mart?nez,15.4158254246509
Marcus Dunstan,7.59620383243668
Marcus Nispel,26.0915830671813
Marcus Raboy,3.10370420349504
Mark A.Z. Dipp?,12.6249425362842
Mark Christopher,5.59683085432394
Mark Dindal,53.5176303432098
Mark Fergus,1.1018711018711
Mark Helfrich,16.5373540652322
Mark Herman,34.6859456173317
Mark Illsley,0.965777262180974
Mark Levin,9.17583176743672
Mark Linfield,6.94256845191351
Mark Mylod,13.6930698920495
Mark Neveldine,51.194626579242
Mark Pellington,7.99203832399973
Mark Romanek,19.6473673112556
Mark Rosman,19.7742290748899
Mark Steven Johnson,42.6672157884897
Mark Tarlov,2.01935245728749
Mark Waters,63.7083529677713
Martin Brest,39.3697915969446
Martin Campbell,178.547863774237
Martin Koolhoven,1.95230463136951
Martin McDonagh,38.0500229092217
Martin Scorsese,266.424158575244
Mary Harron,71.7826191622533
Mary Lambert,1.0228093403948
Massy Tadjedin,7.42431281455672
Mathieu Kassovitz,28.2273276736311
Matt Reeves,76.274769096372
Matthew Robinson,13.125793386931
Matthew Vaughn,204.488529308314
Matthew Warchus,0.351191731702172
Matthijs van Heijningen,18.8974470096919
McG,84.1656782837319
Mel Gibson,46.1637558758874
Mel Smith,19.4634530767715
Melisa Wallack,3.04224909690592
Menhaj Huda,1.44090836398529
